"Quarter","HB","HBQF","HBName","HBNameQF","ADPName","ADPNameQF","ServiceType","ServiceTypeQF","SubstanceType","SubstanceTypeQF","Measure","Waited_1_week_or_less","Waited_more_than_1_week_but_within_2_weeks","Waited_more_than_2_week_but_within_3_weeks","Waited_more_than_3_week_but_within_4_weeks","Waited_more_than_4_week_but_within_8_weeks","Waited_more_than_8_week_but_within_12_weeks","Waited_more_than_12_week_but_within_26_weeks","Waited_more_than_26_week_but_within_52_weeks","Waited_more_than_52_week","LDP_standard_waited_3_weeks_or_less","LDP_standard_waited_more_than_3_weeks","Median_length_of_wait_days"
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","Co-dependency","","Number",0,1,0,0,0,0,0,0,0,1,0,11
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","Co-dependency","","Number",15,0,0,0,0,0,0,0,0,15,0,0
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","Co-dependency","","Number",1,1,2,1,0,0,0,0,0,4,1,15
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","Drug","","Number",75,0,0,0,0,0,0,0,0,75,0,0
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","Drug","","Number",30,0,2,1,1,1,0,0,0,32,3,1
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","Drug","","Number",74,0,0,0,0,0,0,0,0,74,0,0
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","Drug","","Number",39,1,1,1,1,0,0,0,0,41,2,0
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","Drug","","Number",88,2,0,0,0,0,0,0,0,90,0,0
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","Drug","","Number",30,0,0,0,0,1,0,0,0,30,1,3
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","Drug","","Number",94,0,0,0,0,0,0,0,0,94,0,0
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","Drug","","Number",12,4,2,0,0,0,0,0,0,18,0,5
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Community-based service","","Drug","","Number",22,0,1,0,0,0,0,0,0,23,0,0
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","East Ayrshire ADP","","Prison-based service","","Drug","","Number",12,5,0,1,1,0,0,0,0,17,2,7
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Alcohol","","Number",31,26,29,1,0,0,0,0,0,86,1,11
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Alcohol","","Number",26,28,28,1,0,0,0,0,0,82,1,12
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Alcohol","","Number",34,33,23,2,1,0,0,0,0,90,3,10
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Alcohol","","Number",51,40,27,2,0,0,0,0,0,118,2,9
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Alcohol","","Number",37,35,32,1,1,0,0,0,0,104,2,11
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","All","d","Number",98,36,41,1,0,0,0,0,0,175,1,7
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","All","d","Number",86,43,36,2,0,0,0,0,0,165,2,7
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","All","d","Number",95,52,33,4,2,0,0,0,0,180,6,7
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","All","d","Number",107,64,49,5,0,0,0,0,0,220,5,8
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","All","d","Number",92,49,49,5,1,0,0,0,0,190,6,8
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Co-dependency","","Number",8,0,3,0,0,0,0,0,0,11,0,5
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Co-dependency","","Number",4,6,3,0,0,0,0,0,0,13,0,11
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Co-dependency","","Number",5,5,5,2,0,0,0,0,0,15,2,11
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Co-dependency","","Number",8,11,3,1,0,0,0,0,0,22,1,9
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Co-dependency","","Number",3,7,7,1,0,0,0,0,0,17,1,13.5
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Drug","","Number",59,10,9,0,0,0,0,0,0,78,0,4
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Drug","","Number",56,9,5,1,0,0,0,0,0,70,1,3
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Drug","","Number",56,14,5,0,1,0,0,0,0,75,1,4
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Drug","","Number",48,13,19,2,0,0,0,0,0,80,2,6.5
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Drug","","Number",52,7,10,3,0,0,0,0,0,69,3,2.5
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Alcohol","","Number",58,16,8,2,0,0,0,0,0,82,2,4
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Alcohol","","Number",47,14,15,2,0,0,0,0,0,76,2,5
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Alcohol","","Number",47,14,6,1,1,0,0,0,0,67,2,4
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Alcohol","","Number",52,13,10,1,0,0,0,0,0,75,1,5
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Alcohol","","Number",70,4,10,1,1,0,0,0,0,84,2,3
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","All","d","Number",118,25,8,2,0,0,0,0,0,151,2,3
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","All","d","Number",122,20,17,2,0,0,0,0,0,159,2,3
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","All","d","Number",98,20,6,1,1,0,0,0,0,124,2,2
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","All","d","Number",108,15,10,1,1,0,0,0,0,133,2,3
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","All","d","Number",130,7,11,1,1,0,0,0,0,148,2,2.5
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Co-dependency","","Number",19,1,0,0,0,0,0,0,0,20,0,2.5
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Co-dependency","","Number",19,0,0,0,0,0,0,0,0,19,0,1
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Co-dependency","","Number",9,1,0,0,0,0,0,0,0,10,0,3.5
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Co-dependency","","Number",13,1,0,0,0,0,0,0,0,14,0,1
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Co-dependency","","Number",21,0,0,0,0,0,0,0,0,21,0,2
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Drug","","Number",41,8,0,0,0,0,0,0,0,49,0,2
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Drug","","Number",56,6,2,0,0,0,0,0,0,64,0,1
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Drug","","Number",42,5,0,0,0,0,0,0,0,47,0,1
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Drug","","Number",43,1,0,0,1,0,0,0,0,44,1,1
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Drug","","Number",39,3,1,0,0,0,0,0,0,43,0,3
"Q4 2023/2024","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","Alcohol","","Number",69,6,1,0,0,0,0,0,0,76,0,1
"Q1 2024/2025","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","Alcohol","","Number",47,10,1,0,3,0,0,0,0,58,3,1
"Q2 2024/2025","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","Alcohol","","Number",63,10,3,0,1,0,0,0,0,76,1,0
"Q3 2024/2025","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","Alcohol","","Number",56,10,4,0,1,0,0,0,0,70,1,0
"Q4 2024/2025","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","Alcohol","","Number",63,4,0,2,0,0,0,0,0,67,2,0
"Q4 2023/2024","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","All","d","Number",114,9,2,0,1,0,0,0,0,125,1,1
"Q1 2024/2025","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","All","d","Number",82,20,2,1,3,0,0,0,0,104,4,2
"Q2 2024/2025","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","All","d","Number",95,20,3,0,1,0,0,0,0,118,1,0
"Q3 2024/2025","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","All","d","Number",91,16,6,0,1,0,0,0,0,113,1,0
"Q4 2024/2025","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","All","d","Number",130,7,0,2,0,0,0,0,0,137,2,0
"Q4 2023/2024","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","Co-dependency","","Number",7,0,0,0,0,0,0,0,0,7,0,1
"Q1 2024/2025","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","Co-dependency","","Number",3,2,0,0,0,0,0,0,0,5,0,5
"Q2 2024/2025","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","Co-dependency","","Number",8,2,0,0,0,0,0,0,0,10,0,0
"Q3 2024/2025","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","Co-dependency","","Number",13,1,1,0,0,0,0,0,0,15,0,0
"Q4 2024/2025","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","Co-dependency","","Number",18,0,0,0,0,0,0,0,0,18,0,0
"Q4 2023/2024","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","Drug","","Number",38,3,1,0,1,0,0,0,0,42,1,3
"Q1 2024/2025","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","Drug","","Number",32,8,1,1,0,0,0,0,0,41,1,4
"Q2 2024/2025","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","Drug","","Number",24,8,0,0,0,0,0,0,0,32,0,2
"Q3 2024/2025","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","Drug","","Number",22,5,1,0,0,0,0,0,0,28,0,1
"Q4 2024/2025","S08000016","","NHS Borders","","Scottish Borders ADP","","Community-based service","","Drug","","Number",49,3,0,0,0,0,0,0,0,52,0,1
"Q4 2023/2024","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Alcohol","","Number",113,59,19,7,1,0,0,0,0,191,8,7
"Q4 2023/2024","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Alcohol","","Number",8,0,0,0,0,0,0,0,0,8,0,0
"Q1 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Alcohol","","Number",97,61,18,2,0,0,0,0,0,176,2,7
"Q1 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Alcohol","","Number",4,0,0,0,0,0,0,0,0,4,0,0
"Q2 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Alcohol","","Number",68,58,16,1,1,0,0,0,0,142,2,8
"Q2 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Alcohol","","Number",5,0,0,0,0,0,0,0,0,5,0,1
"Q3 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Alcohol","","Number",88,43,13,1,1,0,0,0,0,144,2,7
"Q3 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Alcohol","","Number",2,0,0,0,0,0,0,0,0,2,0,1.5
"Q4 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Alcohol","","Number",118,57,11,3,1,0,0,0,0,186,4,7
"Q4 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Alcohol","","Number",4,0,0,0,0,0,0,0,0,4,0,1
"Q4 2023/2024","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","All","d","Number",202,77,23,9,1,0,0,0,0,302,10,6
"Q4 2023/2024","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","All","d","Number",23,0,0,0,1,0,0,0,0,23,1,0
"Q1 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","All","d","Number",190,83,18,2,0,0,0,0,0,291,2,6
"Q1 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","All","d","Number",22,0,0,0,0,0,0,0,0,22,0,0
"Q2 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","All","d","Number",136,85,20,1,4,0,1,0,0,241,6,7
"Q2 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","All","d","Number",35,0,0,0,0,0,0,0,0,35,0,1
"Q3 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","All","d","Number",161,62,13,1,1,0,0,0,0,236,2,5
"Q3 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","All","d","Number",12,0,0,0,0,0,0,0,0,12,0,1
"Q4 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","All","d","Number",190,68,13,3,1,0,0,0,0,271,4,6
"Q4 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","All","d","Number",16,0,0,0,0,0,0,0,0,16,0,0
"Q4 2023/2024","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Co-dependency","","Number",14,4,1,0,0,0,0,0,0,19,0,5
"Q4 2023/2024","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Co-dependency","","Number",3,0,0,0,1,0,0,0,0,3,1,1
"Q1 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Co-dependency","","Number",11,6,0,0,0,0,0,0,0,17,0,5
"Q1 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Co-dependency","","Number",6,0,0,0,0,0,0,0,0,6,0,1
"Q2 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Co-dependency","","Number",8,7,0,0,0,0,0,0,0,15,0,7
"Q2 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Co-dependency","","Number",5,0,0,0,0,0,0,0,0,5,0,1
"Q3 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Co-dependency","","Number",11,3,0,0,0,0,0,0,0,14,0,5
"Q3 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Co-dependency","","Number",1,0,0,0,0,0,0,0,0,1,0,6
"Q4 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Co-dependency","","Number",12,1,1,0,0,0,0,0,0,14,0,4.5
"Q4 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Co-dependency","","Number",3,0,0,0,0,0,0,0,0,3,0,0
"Q4 2023/2024","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Drug","","Number",75,14,3,2,0,0,0,0,0,92,2,3
"Q4 2023/2024","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Drug","","Number",12,0,0,0,0,0,0,0,0,12,0,0
"Q1 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Drug","","Number",82,16,0,0,0,0,0,0,0,98,0,2
"Q1 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Drug","","Number",12,0,0,0,0,0,0,0,0,12,0,0
"Q2 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Drug","","Number",60,20,4,0,3,0,1,0,0,84,4,4
"Q2 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Drug","","Number",25,0,0,0,0,0,0,0,0,25,0,1
"Q3 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Drug","","Number",62,16,0,0,0,0,0,0,0,78,0,3
"Q3 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Drug","","Number",9,0,0,0,0,0,0,0,0,9,0,1
"Q4 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Drug","","Number",60,10,1,0,0,0,0,0,0,71,0,2
"Q4 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Drug","","Number",9,0,0,0,0,0,0,0,0,9,0,0
"Q4 2023/2024","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Alcohol","","Number",114,85,94,9,12,3,3,0,0,293,27,12
"Q1 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Alcohol","","Number",91,84,87,8,7,0,0,0,0,262,15,13
"Q2 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Alcohol","","Number",99,87,77,8,11,2,1,0,0,263,22,12
"Q3 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Alcohol","","Number",89,78,85,16,6,0,0,0,0,252,22,13
"Q4 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Alcohol","","Number",121,62,51,12,12,1,0,0,0,234,25,8
"Q4 2023/2024","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","All","d","Number",303,149,132,12,25,3,3,0,0,584,43,8
"Q1 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","All","d","Number",232,158,116,17,13,0,0,0,0,506,30,9
"Q2 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","All","d","Number",242,158,107,19,19,3,1,0,0,507,42,8
"Q3 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","All","d","Number",322,167,143,27,12,0,0,0,0,632,39,8
"Q4 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","All","d","Number",267,130,101,19,21,2,0,0,0,498,42,8
"Q4 2023/2024","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Co-dependency","","Number",42,10,6,1,0,0,0,0,0,58,1,6
"Q1 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Co-dependency","","Number",36,20,5,2,1,0,0,0,0,61,3,7
"Q2 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Co-dependency","","Number",38,22,6,4,5,1,0,0,0,66,10,7.5
"Q3 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Co-dependency","","Number",32,9,7,0,0,0,0,0,0,48,0,6
"Q4 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Co-dependency","","Number",18,4,6,1,1,0,0,0,0,28,2,6
"Q4 2023/2024","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Drug","","Number",147,54,32,2,13,0,0,0,0,233,15,6
"Q1 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Drug","","Number",105,54,24,7,5,0,0,0,0,183,12,7
"Q2 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Drug","","Number",105,49,24,7,3,0,0,0,0,178,10,7
"Q3 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Drug","","Number",201,80,51,11,6,0,0,0,0,332,17,6
"Q4 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Drug","","Number",128,64,44,6,8,1,0,0,0,236,15,7
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","Alcohol","","Number",19,20,10,1,0,0,0,0,0,49,1,11.5
