"Quarter","HB","HBQF","HBName","HBNameQF","ADPName","ADPNameQF","ServiceType","ServiceTypeQF","SubstanceType","SubstanceTypeQF","NumberOfReferrals","PercentageOfReferrals"
"Q2 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","Alcohol","",214,4.016
"Q2 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","Alcohol","",4,9.302
"Q3 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","Alcohol","",244,4.889
"Q3 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","Alcohol","",2,4.082
"Q4 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","Alcohol","",231,4.609
"Q4 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","Alcohol","",1,2.632
"Q4 2023/2024","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","All","d",398,3.643
"Q4 2023/2024","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","All","d",82,9.001
"Q1 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","All","d",432,4.177
"Q1 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","All","d",120,10.724
"Q2 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","All","d",485,4.577
"Q2 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","All","d",58,5.72
"Q3 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","All","d",519,5.143
"Q3 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","All","d",53,6.113
"Q4 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","All","d",506,4.945
"Q4 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","All","d",46,5.83
"Q4 2023/2024","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","Co-dependency","",38,2.754
"Q4 2023/2024","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","Co-dependency","",18,13.846
"Q1 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","Co-dependency","",45,3.142
"Q1 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","Co-dependency","",20,11.976
"Q2 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","Co-dependency","",38,2.622
"Q2 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","Co-dependency","",5,3.448
"Q3 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","Co-dependency","",51,3.731
"Q3 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","Co-dependency","",2,1.695
"Q4 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","Co-dependency","",48,3.488
"Q4 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","Co-dependency","",2,1.639
"Q4 2023/2024","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","Drug","",169,4.237
"Q4 2023/2024","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","Drug","",60,8.253
"Q1 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","Drug","",187,5.068
"Q1 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","Drug","",93,10.379
"Q2 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","Drug","",233,6.101
"Q2 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","Drug","",49,5.932
"Q3 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","Drug","",224,5.999
"Q3 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","Drug","",49,7
"Q4 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Community-based service","","Drug","",227,5.904
"Q4 2024/2025","S08000020","","NHS Grampian","","Aberdeenshire ADP","","Prison-based service","","Drug","",43,6.836
"Q4 2023/2024","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","Alcohol","",140,2.519
"Q1 2024/2025","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","Alcohol","",130,2.49
"Q2 2024/2025","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","Alcohol","",120,2.252
"Q3 2024/2025","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","Alcohol","",116,2.324
"Q4 2024/2025","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","Alcohol","",145,2.893
"Q4 2023/2024","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","All","d",273,2.499
"Q1 2024/2025","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","All","d",259,2.504
"Q2 2024/2025","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","All","d",283,2.671
"Q3 2024/2025","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","All","d",221,2.19
"Q4 2024/2025","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","All","d",272,2.658
"Q4 2023/2024","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","Co-dependency","",40,2.899
"Q1 2024/2025","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","Co-dependency","",40,2.793
"Q2 2024/2025","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","Co-dependency","",52,3.589
"Q3 2024/2025","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","Co-dependency","",29,2.121
"Q4 2024/2025","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","Co-dependency","",25,1.817
"Q4 2023/2024","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","Drug","",93,2.331
"Q1 2024/2025","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","Drug","",89,2.412
"Q2 2024/2025","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","Drug","",111,2.907
"Q3 2024/2025","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","Drug","",76,2.035
"Q4 2024/2025","S08000030","","NHS Tayside","","Angus ADP","","Community-based service","","Drug","",102,2.653
"Q4 2023/2024","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","Alcohol","",82,1.476
"Q1 2024/2025","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","Alcohol","",91,1.743
"Q2 2024/2025","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","Alcohol","",85,1.595
"Q3 2024/2025","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","Alcohol","",80,1.603
"Q4 2024/2025","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","Alcohol","",80,1.596
"Q4 2023/2024","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","All","d",131,1.199
"Q1 2024/2025","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","All","d",176,1.702
"Q2 2024/2025","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","All","d",148,1.397
"Q3 2024/2025","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","All","d",123,1.219
"Q4 2024/2025","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","All","d",128,1.251
"Q4 2023/2024","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","Co-dependency","",15,1.087
"Q1 2024/2025","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","Co-dependency","",32,2.235
"Q2 2024/2025","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","Co-dependency","",30,2.07
"Q3 2024/2025","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","Co-dependency","",21,1.536
"Q4 2024/2025","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","Co-dependency","",25,1.817
"Q4 2023/2024","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","Drug","",34,0.852
"Q1 2024/2025","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","Drug","",53,1.436
"Q2 2024/2025","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","Drug","",33,0.864
"Q3 2024/2025","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","Drug","",22,0.589
"Q4 2024/2025","S08000022","","NHS Highland","","Argyll & Bute ADP","","Community-based service","","Drug","",23,0.598
"Q4 2023/2024","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","Alcohol","",338,6.082
"Q4 2023/2024","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","Alcohol","",6,11.111
"Q1 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","Alcohol","",351,6.723
"Q1 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","Alcohol","",10,17.857
"Q2 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","Alcohol","",328,6.155
"Q2 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","Alcohol","",1,2.326
"Q3 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","Alcohol","",347,6.953
"Q3 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","Alcohol","",5,10.204
"Q4 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","Alcohol","",300,5.986
"Q4 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","Alcohol","",7,18.421
"Q4 2023/2024","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","All","d",808,7.395
"Q4 2023/2024","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","All","d",93,10.209
"Q1 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","All","d",754,7.29
"Q1 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","All","d",104,9.294
"Q2 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","All","d",774,7.304
"Q2 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","All","d",88,8.679
"Q3 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","All","d",704,6.976
"Q3 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","All","d",91,10.496
"Q4 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","All","d",708,6.919
"Q4 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","All","d",75,9.506
"Q4 2023/2024","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","Co-dependency","",92,6.667
"Q4 2023/2024","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","Co-dependency","",20,15.385
"Q1 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","Co-dependency","",90,6.285
"Q1 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","Co-dependency","",25,14.97
"Q2 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","Co-dependency","",99,6.832
"Q2 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","Co-dependency","",19,13.103
"Q3 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","Co-dependency","",80,5.852
"Q3 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","Co-dependency","",25,21.186
"Q4 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","Co-dependency","",99,7.195
"Q4 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","Co-dependency","",23,18.852
"Q4 2023/2024","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","Drug","",378,9.476
"Q4 2023/2024","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","Drug","",67,9.216
"Q1 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","Drug","",313,8.482
"Q1 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","Drug","",69,7.701
"Q2 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","Drug","",347,9.086
"Q2 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","Drug","",68,8.232
"Q3 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","Drug","",277,7.418
"Q3 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","Drug","",61,8.714
"Q4 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Community-based service","","Drug","",309,8.036
"Q4 2024/2025","S08000024","","NHS Lothian","","City of Edinburgh ADP","","Prison-based service","","Drug","",45,7.154
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","Alcohol","",1032,18.571
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","Alcohol","",4,7.407
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","Alcohol","",957,18.33
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","Alcohol","",6,10.714
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","Alcohol","",1019,19.122
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","Alcohol","",4,9.302
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","Alcohol","",1002,20.076
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","Alcohol","",6,12.245
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","Alcohol","",997,19.892
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","Alcohol","",3,7.895
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","All","d",2013,18.424
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","All","d",114,12.514
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","All","d",1954,18.892
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","All","d",131,11.707
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","All","d",2117,19.977
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","All","d",153,15.089
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","All","d",2133,21.136
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","All","d",114,13.149
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","All","d",2194,21.44
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","All","d",117,14.829
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","Co-dependency","",371,26.884
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","Co-dependency","",22,16.923
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","Co-dependency","",361,25.209
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","Co-dependency","",15,8.982
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","Co-dependency","",381,26.294
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","Co-dependency","",21,14.483
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","Co-dependency","",438,32.041
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","Co-dependency","",10,8.475
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","Co-dependency","",409,29.724
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","Co-dependency","",20,16.393
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","Drug","",610,15.292
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","Drug","",88,12.105
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","Drug","",636,17.236
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","Drug","",110,12.277
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","Drug","",717,18.775
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","Drug","",128,15.496
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","Drug","",693,18.559
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","Drug","",98,14
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Community-based service","","Drug","",788,20.494
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","City of Glasgow ADP","","Prison-based service","","Drug","",94,14.944
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","Alcohol","",72,1.296
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","Alcohol","",2,3.704
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","Alcohol","",46,0.881
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","Alcohol","",2,3.571
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","Alcohol","",69,1.295
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","Alcohol","",6,13.953
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","Alcohol","",38,0.761
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","Alcohol","",2,4.082
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","Alcohol","",55,1.097
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","Alcohol","",0,0
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","All","d",181,1.657
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","All","d",84,9.221
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","All","d",121,1.17
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","All","d",79,7.06
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","All","d",174,1.642
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","All","d",67,6.607
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","All","d",115,1.14
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","All","d",73,8.42
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","All","d",160,1.564
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","All","d",69,8.745
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","Co-dependency","",16,1.159
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","Co-dependency","",9,6.923
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","Co-dependency","",17,1.187
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","Co-dependency","",18,10.778
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","Co-dependency","",29,2.001
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","Co-dependency","",21,14.483
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","Co-dependency","",14,1.024
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","Co-dependency","",10,8.475
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","Co-dependency","",23,1.672
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","Co-dependency","",11,9.016
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","Drug","",93,2.331
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","Drug","",73,10.041
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","Drug","",58,1.572
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","Drug","",59,6.585
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","Drug","",76,1.99
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","Drug","",40,4.843
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","Drug","",63,1.687
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","Drug","",61,8.714
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Community-based service","","Drug","",82,2.133
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Clackmannanshire ADP","","Prison-based service","","Drug","",58,9.221
"Q4 2023/2024","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Alcohol","",276,4.967
"Q4 2023/2024","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Alcohol","",8,14.815
"Q1 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Alcohol","",248,4.75
"Q1 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Alcohol","",4,7.143
"Q2 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Alcohol","",171,3.209
"Q2 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Alcohol","",5,11.628
"Q3 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Alcohol","",159,3.186
"Q3 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Alcohol","",2,4.082
"Q4 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Community-based service","","Alcohol","",210,4.19
"Q4 2024/2025","S08000017","","NHS Dumfries & Galloway","","Dumfries & Galloway ADP","","Prison-based service","","Alcohol","",4,10.526
